ID_ESCOLA;CO_PROFESSOR;ID_SERIE;TX_RESP_Q053;TX_RESP_Q054;TX_RESP_Q055;TX_RESP_Q056;TX_RESP_Q057;TX_RESP_Q058;TX_RESP_Q059;TX_RESP_Q060;TX_RESP_Q061;TX_RESP_Q062;TX_RESP_Q063;TX_RESP_Q064;TX_RESP_Q065;TX_RESP_Q066;TX_RESP_Q067;TX_RESP_Q068;TX_RESP_Q069
35022330;2017446454;9;C;E;E;E;C;C;C;B;C;C;C;B;B;D;C;C;C
35018077;2017013139;5;E;E;E;E;E;C;C;C;C;D;B;C;C;C;C;B;B
35018077;2017140807;5;C;E;E;E;E;C;C;C;C;C;C;D;D;A;C;D;D
35018077;2017013137;5;C;E;E;E;E;C;C;A;D;D;D;B;B;B;B;B;D
35018120;2017304307;9;D;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C;C
35018193;2017403781;5;C;C;E;E;C;C;D;B;B;C;D;C;D;C;D;C;B
35018193;2017155153;5;C;E;E;E;D;A;B;A;A;D;B;A;A;B;B;B;D
35018545;2017112531;5;C;E;D;D;E;B;D;C;C;C;C;C;C;C;C;C;C
35018545;2017069765;5;C;E;E;D;B;D;D;D;D;D;D;D;D;D;D;D;D
35018697;2017233320;5;C;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35018697;2017262416;5;C;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35018697;2017432199;5;C;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35018697;2017298015;5;C;E;E;E;E;C;C;C;C;C;C;C;C;C;C;C;C
35018697;2017432198;5;C;E;E;D;E;B;B;D;D;B;D;D;D;D;D;C;B
35018697;2017233319;5;C;E;E;D;E;B;B;D;D;B;D;D;D;D;D;C;B
35018788;2017006141;9;C;E;E;E;B;D;D;D;D;D;D;C;C;D;D;C;C
35018922;2017410849;9;C;A;C;C;B;B;D;D;C;D;B;C;B;D;D;C;C
35018922;2017410850;9;A;C;E;E;B;B;B;B;B;C;B;B;B;D;B;B;B
35018922;2017183464;9;A;C;E;E;B;B;B;B;B;C;B;B;B;D;B;B;B
35018922;2017169228;9;A;C;E;E;B;B;B;B;B;C;B;B;B;D;B;B;B
35035907;2017204804;5;B;E;C;E;E;C;C;B;C;C;C;C;C;C;C;C;C
35037965;2017084455;9;B;C;C;D;C;B;B;C;C;C;C;B;B;B;B;B;C
35436012;2017355022;5;C;E;E;C;C;B;C;C;C;C;C;C;C;C;C;C;C
35436012;2017177118;5;C;E;E;C;C;B;C;C;C;C;C;C;C;C;C;C;C
35436012;2017290684;5;E;E;E;E;E;C;D;C;D;D;D;D;D;D;D;D;C
35037308;2017233481;5;C;E;E;E;D;C;C;C;C;C;C;D;D;C;C;C;D
35041221;2017027560;9;C;D;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35041221;2017219353;9;C;D;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35041221;2017183693;9;C;D;E;E;C;C;C;C;C;C;C;C;C;C;C;C;C
35041221;2017432429;5;D;E;E;E;D;D;D;D;C;C;D;C;D;D;D;D;D
35041221;2017048646;5;B;E;E;E;E;C;C;C;C;C;C;C;C;D;D;C;C
